2026-04-22 13:09:58,156 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:10:10,222 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:10:10,237 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (6, 3, 7)
2026-04-22 13:10:10,237 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(8), np.int64(5), np.int64(8)) with prob = 0.0705766
2026-04-22 13:10:10,237 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.633, -0.392, -29.725)
2026-04-22 13:10:10,238 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:10:13,200 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:10:13,210 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 3, 7)
2026-04-22 13:10:13,211 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(6), np.int64(4), np.int64(6)) with prob = 0.9999999
2026-04-22 13:10:13,211 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.009936720489170856
2026-04-22 13:10:13,211 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.282, -0.087, 320.275)
2026-04-22 13:10:13,211 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.305, 0.000, -50.000)
2026-04-22 13:10:13,212 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.023, -0.087, 370.275)
2026-04-22 13:10:13,212 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:10:15,268 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:10:15,272 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 2, 5)
2026-04-22 13:10:15,272 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(5), np.int64(1), np.int64(5)) with prob = 0.0722292
2026-04-22 13:10:15,273 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.496, 0.413, 367.357)
2026-04-22 13:10:15,273 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2026-04-22 13:10:19,237 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:10:19,238 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 2, 5)
2026-04-22 13:10:19,238 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(6), np.int64(2), np.int64(5)) with prob = 1.0
2026-04-22 13:10:19,238 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.04268723350537923
2026-04-22 13:10:19,239 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.508, -0.524, 657.357)
2026-04-22 13:10:19,239 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.305, -0.610, -70.000)
2026-04-22 13:10:19,239 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.203, 0.086, 727.357)
2026-04-22 13:10:19,239 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2026-04-22 13:10:20,303 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
