2026-04-14 12:33:17,561 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-14 12:33:17,561 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-14 12:33:40,751 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-14 12:33:40,751 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-14 12:33:40,751 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-14 12:33:40,751 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-14 12:33:40,751 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-14 12:33:40,751 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-14 12:33:40,751 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-14 12:33:49,649 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:36:08,056 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:36:30,140 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-14 12:36:30,140 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-14 12:36:37,837 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-14 12:36:37,837 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-14 12:36:37,837 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-14 12:36:37,837 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-14 12:36:37,837 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-14 12:36:37,837 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-14 12:36:37,837 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-14 13:15:27,689 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-14 13:15:27,689 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-15 14:12:36,478 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-15 14:12:36,479 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-15 14:12:36,479 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-15 14:12:36,479 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-15 14:12:36,479 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-15 14:12:36,479 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-15 14:12:36,479 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-15 14:17:20,984 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-15 14:20:46,707 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-15 14:20:46,707 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-15 14:20:54,957 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-15 14:20:54,957 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-15 14:20:54,958 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-15 14:20:54,958 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-15 14:20:54,958 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-15 14:20:54,958 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-15 14:20:54,958 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-15 14:21:31,791 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-15 14:23:29,106 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2026-04-15 14:23:29,924 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2026-04-15 14:23:32,132 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2026-04-15 14:23:32,617 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2026-04-15 14:23:33,134 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2026-04-15 14:23:42,368 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2026-04-15 14:23:42,892 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
